ID,premium,risk_type,total_incurred_loss
3910,14.6,A,9.3
3911,10.62,A,9.81
3912,13.7,A,8.8
3913,11.7,A,10.5
3914,9.81,A,6.93
3915,12.6,A,12.1
3916,573.92,A,505.24
3917,14.0,A,8.0
3918,561.0,A,370.6
3919,592.28,A,539.92
3920,10.98,A,8.01
3921,699.72,A,414.12
3922,12.9,A,10.2
3923,10.8,A,5.94
3924,15.7,A,7.9
3925,13.4,A,8.8
3926,10.89,A,9.45
3927,580.72,A,457.64
3928,14.2,A,11.8
3929,607.24,A,488.24
3930,14.0,A,9.2
3931,12.5,A,8.6
3932,15.4,A,13.4
3933,698.36,A,487.56
3934,711.96,A,397.8
3935,10.89,A,9.36
3936,15.1,A,8.0
3937,588.2,A,416.84
3938,13.8,A,10.7
3939,14.3,A,10.3
3940,11.07,A,8.64
3941,10.7,A,10.2
3942,14.9,A,7.1
3943,13.2,A,11.0
3944,517.48,A,526.32
3945,11.7,A,11.3
3946,10.08,A,8.19
3947,624.24,A,412.76
3948,11.0,A,9.4
3949,12.0,A,9.9
3950,14.2,A,6.8
3951,14.9,A,10.3
3952,11.9,A,7.9
3953,663.0,A,581.4
3954,574.6,A,315.52
3955,11.52,A,7.47
3956,10.71,A,7.02
3957,10.89,A,8.19
3958,633.08,A,502.52
3959,13.5,A,12.5
3960,13.4,A,10.6
3961,14.5,A,10.1
3962,571.2,A,422.28
3963,10.71,A,7.92
3964,13.9,A,8.2
3965,648.72,A,422.96
3966,15.2,A,10.7
3967,10.35,A,7.02
3968,13.9,A,10.2
3969,13.0,A,5.7
3970,13.6,A,9.4
3971,11.4,A,8.4
3972,11.7,A,6.75
3973,14.2,A,9.6
3974,12.78,A,7.65
3975,12.3,A,12.0
3976,13.5,A,10.2
3977,10.89,A,8.91
3978,10.8,A,8.9
3979,12.3,A,12.6
3980,13.0,A,13.4
3981,13.7,A,10.1
3982,10.3,A,9.1
3983,8.82,A,8.19
3984,524.28,A,641.92
3985,15.0,A,12.9
3986,11.34,A,8.46
3987,10.53,A,6.39
3988,608.6,A,409.36
3989,13.7,A,11.0
3990,12.2,A,9.8
3991,13.1,A,8.3
3992,659.6,A,509.32
3993,600.44,A,458.32
3994,10.8,A,10.9
3995,612.0,A,417.52
3996,12.2,A,13.4
3997,11.25,A,8.73
3998,13.2,A,9.0
3999,10.89,A,7.02
4000,12.8,A,11.3
4001,9.09,A,7.38
4002,12.0,A,9.5
4003,9.63,A,7.11
4004,15.0,A,10.8
4005,601.8,A,533.8
4006,707.2,A,444.04
4007,14.0,A,9.6
4008,713.32,A,450.16
4009,11.0,A,10.9
4010,14.2,A,10.8
4011,13.6,A,10.0
4012,530.4,A,475.32
4013,16.0,A,9.7
4014,13.4,A,9.6
4015,13.1,A,10.8
4016,10.3,A,9.9
4017,11.34,A,8.64
4018,12.0,A,9.3
4019,10.35,A,8.82
4020,599.76,A,357.0
4021,9.72,A,8.01
4022,613.36,A,512.04
4023,590.24,A,381.48
4024,10.26,A,6.84
4025,13.0,A,13.7
4026,10.1,A,10.2
4027,537.88,A,467.84
4028,12.3,A,9.3
4029,12.9,A,8.9
4030,11.8,A,10.2
4031,11.8,A,10.5
4032,9.99,A,7.2
4033,10.2,A,11.2
4034,13.0,A,11.4
4035,13.3,A,10.8
4036,505.24,A,447.44
4037,12.4,A,9.3
4038,15.5,A,9.7
4039,541.96,A,383.52
4040,14.4,A,9.3
4041,12.4,A,13.5
4042,14.2,A,10.0
4043,544.0,A,426.36
4044,13.7,A,7.2
4045,601.8,A,494.36
4046,9.36,A,7.92
4047,15.6,A,9.0
4048,13.0,A,11.7
4049,8.91,A,9.54
4050,708.56,A,374.68
4051,612.68,A,331.16
4052,13.5,A,10.5
4053,9.18,A,10.71
4054,11.7,A,7.5
4055,529.04,A,549.44
4056,9.81,A,7.65
4057,484.16,A,492.32
4058,641.92,A,495.04
4059,12.8,A,8.0
4060,555.56,A,497.76
4061,13.6,A,11.8
4062,11.9,A,9.3
4063,12.5,A,11.0
4064,9.18,A,8.37
4065,12.3,A,12.2
4066,10.2,A,6.6
4067,586.84,A,381.48
4068,527.68,A,575.28
4069,592.96,A,443.36
4070,12.6,A,9.8
4071,11.25,A,9.27
4072,701.08,A,514.08
4073,14.6,A,8.0
4074,14.5,A,10.9
4075,13.1,A,10.8
4076,12.4,A,11.2
4077,14.7,A,7.9
4078,9.99,A,7.92
4079,10.89,A,9.09
4080,11.8,A,10.3
4081,16.1,A,9.1
4082,11.16,A,8.37
4083,578.68,A,398.48
4084,14.6,A,9.2
4085,10.98,A,6.3
4086,14.5,A,10.3
4087,8.73,A,8.55
4088,14.1,A,10.9
4089,11.9,A,10.0
4090,11.25,A,8.64
4091,13.14,A,8.28
4092,14.8,A,7.9
4093,520.88,A,480.08
4094,571.2,A,516.12
4095,9.9,A,7.74
4096,682.04,A,420.24
4097,10.26,A,8.64
4098,13.3,A,10.4
4099,8.73,A,6.3
4100,11.6,A,9.9
4101,601.12,A,496.4
4102,13.5,A,9.0
4103,11.9,A,10.7
4104,13.3,A,8.3
4105,12.9,A,11.4
4106,9.0,A,8.37
4107,13.0,A,12.3
4108,582.76,A,447.44
4109,606.56,A,443.36
4110,10.26,A,8.64
4111,11.34,A,8.19
4112,567.8,A,471.24
4113,10.35,A,9.18
4114,605.2,A,482.8
4115,535.84,A,520.2
4116,14.4,A,9.4
4117,10.3,A,6.6
4118,520.88,A,374.0
4119,12.9,A,8.7
4120,632.4,A,408.0
4121,10.44,A,9.99
4122,14.2,A,9.3
4123,14.4,A,10.5
4124,13.2,A,9.6
4125,624.24,A,391.68
4126,10.53,A,7.38
4127,13.4,A,10.6
4128,12.2,A,13.5
4129,12.6,A,7.92
4130,578.0,A,452.88
4131,12.1,A,11.2
4132,507.28,A,410.04
4133,14.0,A,7.7
4134,11.61,A,10.26
4135,14.2,A,10.3
4136,14.3,A,8.7
4137,10.44,A,8.64
4138,12.9,A,10.2
4139,14.2,A,7.5
4140,490.96,A,486.2
4141,673.2,A,382.16
4142,573.92,A,567.12
4143,9.36,A,8.64
4144,13.5,A,10.9
4145,11.2,A,9.1
4146,602.48,A,509.32
4147,11.52,A,9.18
4148,574.6,A,538.56
4149,676.6,A,503.88
4150,10.62,A,8.28
4151,13.2,A,10.2
4152,615.4,A,461.04
4153,590.24,A,494.36
4154,12.0,A,13.6
4155,10.5,A,9.8
4156,13.6,A,8.8
4157,16.2,A,10.8
4158,10.8,A,7.56
4159,602.48,A,425.68
4160,486.2,A,267.92
4161,12.24,A,9.81
4162,13.9,A,11.2
4163,13.3,A,9.5
4164,9.36,A,9.36
4165,12.3,A,7.3
4166,13.0,A,13.1
4167,12.7,A,8.3
4168,648.04,A,466.48
4169,13.6,A,7.5
4170,9.81,A,7.47
4171,13.8,A,8.7
4172,12.3,A,9.3
4173,11.8,A,7.9
4174,12.2,A,10.4
4175,13.7,A,11.3
4176,638.52,A,560.32
4177,13.8,A,10.0
4178,11.5,A,10.1
4179,552.16,A,537.88
4180,9.72,A,7.02
4181,10.26,A,9.72
4182,14.8,A,10.3
4183,565.76,A,405.96
4184,12.8,A,11.1
4185,10.44,A,6.84
4186,13.6,A,9.5
4187,12.2,A,8.2
4188,603.84,A,484.16
4189,13.4,A,10.1
4190,10.17,A,8.37
4191,565.08,A,393.04
4192,12.8,A,11.0
4193,12.5,A,10.1
4194,11.5,A,10.0
4195,12.0,A,9.2
4196,15.3,A,7.1
4197,656.88,A,422.96
4198,15.0,A,10.6
4199,11.7,A,7.8
4200,13.1,A,7.9
4201,595.68,A,473.96
4202,643.96,A,435.88
4203,12.8,A,8.6
4204,13.2,A,9.4
4205,13.5,A,9.6
4206,672.52,A,354.96
4207,12.6,A,9.1
4208,15.3,A,7.7
4209,630.36,A,438.6
4210,9.27,A,8.37
4211,14.3,A,10.7
4212,13.1,A,11.2
4213,10.08,A,10.35
4214,14.0,A,9.5
4215,8.82,A,10.71
4216,611.32,A,449.48
4217,651.44,A,448.12
4218,9.63,A,8.28
4219,11.61,A,7.2
4220,8.64,A,8.64
4221,13.4,A,7.8
4222,13.9,A,11.8
4223,12.4,A,13.3
4224,10.08,A,4.86
4225,10.3,A,5.6
4226,11.79,A,9.0
4227,13.6,A,9.9
4228,11.52,A,10.17
4229,14.3,A,9.1
4230,572.56,A,404.6
4231,13.6,A,9.0
4232,577.32,A,446.76
4233,11.7,A,7.74
4234,576.64,A,527.68
4235,10.62,A,9.9
4236,13.1,A,11.5
4237,11.6,A,12.4
4238,13.9,A,10.1
4239,11.5,A,11.7
4240,15.1,A,13.4
4241,10.7,A,8.6
4242,12.78,A,8.28
4243,13.3,A,9.0
4244,637.16,A,472.6
4245,12.3,A,8.5
4246,601.12,A,494.36
4247,716.04,A,331.84
4248,679.32,A,539.24
4249,12.3,A,10.6
4250,14.0,A,10.8
4251,11.8,A,9.2
4252,11.4,A,8.4
4253,11.34,A,9.27
4254,14.7,A,8.3
4255,656.2,A,557.6
4256,13.59,A,6.66
4257,12.24,A,10.89
4258,11.79,A,9.18
4259,12.3,A,11.0
4260,606.56,A,455.6
4261,10.17,A,7.2
4262,11.79,A,6.93
4263,659.6,A,597.04
4264,567.12,A,569.16
4265,11.7,A,13.2
4266,13.8,A,9.1
4267,12.5,A,9.5
4268,13.5,A,8.6
4269,13.1,A,10.9
4270,12.6,A,11.3
4271,599.08,A,341.36
4272,12.4,A,10.6
4273,12.0,A,9.6
4274,13.0,A,8.8
4275,13.4,A,12.3
4276,11.43,A,10.08
4277,9.45,A,8.19
4278,16.1,A,5.5
4279,9.81,A,8.46
4280,8.91,A,7.47
4281,10.6,A,10.1
4282,9.9,A,8.46
4283,12.4,A,8.4
4284,8.73,A,9.09
4285,12.6,A,8.8
4286,13.4,A,10.6
4287,10.62,A,8.91
4288,11.07,A,8.28
4289,550.12,A,402.56
4290,13.7,A,9.6
4291,10.53,A,8.55
4292,12.6,A,11.9
4293,664.36,A,473.28
4294,563.72,A,452.88
4295,544.0,A,437.92
4296,11.8,A,9.7
4297,639.2,A,408.0
4298,10.8,A,10.2
4299,467.84,A,535.84
4300,600.44,A,503.88
4301,13.3,A,9.0
4302,12.9,A,11.7
4303,14.1,A,8.0
4304,14.3,A,11.2
4305,14.0,A,10.8
4306,12.6,A,11.2
4307,13.3,A,9.1
4308,617.44,A,458.32
4309,10.71,A,8.37
4310,616.08,A,574.6
4311,542.64,A,486.88
4312,720.12,A,473.96
4313,11.43,A,9.63
4314,13.2,A,9.8
4315,13.2,A,8.8
4316,9.99,A,9.9
4317,11.4,A,11.2
4318,13.6,A,8.9
4319,621.52,A,506.6
4320,9.8,A,11.8
4321,15.6,A,8.8
4322,13.6,A,9.4
4323,10.71,A,11.52
4324,10.5,A,9.5
4325,657.56,A,554.88
4326,549.44,A,418.2
4327,12.7,A,9.5
4328,12.2,A,13.3
4329,11.6,A,10.8
4330,592.28,A,405.96
4331,13.0,A,9.2
4332,13.6,A,10.6
4333,11.1,A,8.7
4334,14.3,A,10.1
4335,14.9,A,11.6
4336,13.1,A,11.8
4337,14.0,A,7.4
4338,15.1,A,9.1
4339,10.62,A,8.91
4340,9.99,A,8.37
4341,13.1,A,8.8
4342,12.4,A,13.4
4343,10.44,A,8.19
4344,600.44,A,463.76
4345,11.7,A,7.2
4346,13.0,A,11.1
4347,13.5,A,9.7
4348,558.28,A,371.28
4349,624.24,A,461.04
4350,658.92,A,524.28
4351,10.89,A,8.91
4352,650.76,A,469.88
4353,12.2,A,8.6
4354,618.8,A,524.28
4355,684.08,A,271.32
4356,10.71,A,11.16
4357,605.88,A,505.24
4358,11.34,A,7.47
4359,13.3,A,13.2
4360,12.7,A,13.5
4361,14.3,A,12.4
4362,10.53,A,7.11
4363,11.3,A,11.1
4364,12.3,A,7.9
4365,10.89,A,6.39
4366,11.9,A,11.0
4367,11.43,A,5.22
4368,12.7,A,9.1
4369,13.0,A,9.3
4370,659.6,A,473.28
4371,15.2,A,10.6
4372,10.6,A,7.8
4373,14.1,A,11.1
4374,14.1,A,11.0
4375,565.08,A,344.08
4376,559.64,A,463.76
4377,602.48,A,458.32
4378,10.0,A,10.8
4379,15.6,A,8.9
4380,10.89,A,10.71
4381,14.3,A,10.5
4382,626.28,A,425.68
4383,577.32,A,595.68
4384,13.4,A,11.8
4385,535.84,A,463.08
4386,500.48,A,438.6
4387,12.9,A,9.7
4388,720.12,A,554.88
4389,11.25,A,9.81
4390,11.4,A,12.7
4391,10.08,A,7.2
4392,10.26,A,9.0
4393,12.4,A,10.8
4394,11.88,A,8.01
4395,13.9,A,9.7
4396,10.62,A,8.28
4397,13.3,A,11.2
4398,9.36,A,5.94
4399,15.5,A,11.7
4400,13.3,A,10.8
4401,16.0,A,10.9
4402,677.96,A,442.68
4403,533.8,A,267.92
4404,13.1,A,7.8
4405,14.4,A,11.5
4406,13.4,A,8.3
4407,12.5,A,9.1
4408,567.12,A,544.0
4409,10.53,A,9.45
4410,11.07,A,7.56
4411,12.8,A,11.8
4412,10.71,A,9.54
4413,12.1,A,9.8
4414,625.6,A,541.28
4415,549.44,A,371.96
4416,14.5,A,9.4
4417,11.5,A,9.1
4418,14.7,A,9.1
4419,10.44,A,8.01
4420,10.98,A,8.19
4421,739.16,A,409.36
4422,573.24,A,529.04
4423,9.3,A,11.2
4424,11.8,A,10.3
4425,11.4,A,9.0
4426,12.4,A,10.8
4427,590.24,A,528.36
4428,592.96,A,384.2
4429,654.16,A,535.84
4430,8.1,A,7.02
4431,665.04,A,486.2
4432,12.0,A,7.6
4433,9.54,A,9.45
4434,10.4,A,8.9
4435,13.3,A,8.1
4436,634.44,A,545.36
4437,16.6,A,8.5
4438,524.96,A,531.76
4439,10.8,A,7.56
4440,12.3,A,11.7
4441,550.12,A,337.28
4442,624.92,A,433.84
4443,15.1,A,12.3
4444,13.4,A,11.3
4445,14.0,A,9.2
4446,12.7,A,11.5
4447,11.0,A,9.5
4448,14.2,A,11.6
4449,10.98,A,8.19
4450,12.4,A,10.2
4451,10.26,A,7.65
4452,605.2,A,431.12
4453,10.53,A,8.01
4454,499.8,A,592.96
4455,584.8,A,396.44
4456,10.26,A,9.63
4457,13.9,A,14.4
4458,13.5,A,8.9
4459,619.48,A,578.68
4460,627.64,A,466.48
4461,605.88,A,438.6
4462,11.6,A,9.6
4463,12.1,A,10.5
4464,12.9,A,9.7
4465,11.52,A,7.11
4466,9.9,A,9.5
4467,605.88,A,519.52
4468,9.9,A,6.75
4469,13.7,A,11.9
4470,13.9,A,11.4
4471,582.76,A,391.68
4472,12.0,A,9.8
4473,14.2,A,8.4
4474,14.7,A,11.3
4475,12.4,A,11.3
4476,620.16,A,466.48
4477,12.4,A,9.5
4478,9.18,A,9.09
4479,9.5,A,9.1
4480,607.24,A,414.8
4481,14.6,A,10.5
4482,15.4,A,12.4
4483,10.62,A,8.19
4484,8.28,A,7.92
4485,12.3,A,9.8
4486,13.3,A,10.4
4487,548.08,A,529.04
4488,11.7,A,11.8
4489,677.96,A,415.48
4490,11.0,A,9.3
4491,10.9,A,9.6
4492,9.9,A,5.58
4493,632.4,A,470.56
4494,10.53,A,7.92
4495,10.53,A,7.11
4496,13.8,A,6.9
4497,13.8,A,8.2
4498,567.12,A,607.24
4499,13.5,A,9.8
4500,10.08,A,7.47
4501,9.81,A,8.82
4502,14.4,A,9.0
4503,10.98,A,7.56
4504,572.56,A,476.68
4505,12.9,A,9.7
4506,12.6,A,9.5
4507,499.8,A,442.0
4508,560.32,A,432.48
4509,638.52,A,507.96
4510,14.8,A,8.1
4511,11.0,A,8.0
4512,14.8,A,9.7
4513,656.88,A,547.4
4514,11.1,A,10.1
4515,11.43,A,8.91
4516,12.4,A,10.9
4517,507.28,A,523.6
4518,10.35,A,7.38
4519,11.79,A,7.56
4520,13.7,A,9.7
4521,14.9,A,10.7
4522,703.8,A,594.32
4523,627.64,A,400.52
4524,12.6,A,12.9
4525,13.5,A,10.1
4526,12.2,A,11.7
4527,590.24,A,436.56
4528,14.0,A,10.4
4529,12.7,A,9.8
4530,12.51,A,8.55
4531,12.2,A,8.4
4532,12.1,A,10.7
4533,12.0,A,7.8
4534,544.0,A,436.56
4535,12.7,A,11.4
4536,11.52,A,9.09
4537,597.04,A,330.48
4538,590.92,A,464.44
4539,644.64,A,348.16
4540,608.6,A,331.84
4541,12.42,A,8.91
4542,13.2,A,12.4
4543,15.0,A,7.7
4544,10.17,A,9.81
4545,12.6,A,10.9
4546,13.8,A,10.8
4547,14.0,A,9.7
4548,622.88,A,576.64
4549,11.34,A,7.56
4550,12.2,A,9.3
4551,13.3,A,8.6
4552,13.8,A,10.9
4553,10.08,A,9.0
4554,638.52,A,410.04
4555,559.64,A,362.44
4556,14.4,A,11.6
4557,12.9,A,9.6
4558,14.4,A,8.4
4559,10.08,A,7.65
4560,581.4,A,417.52
4561,584.8,A,395.08
4562,13.3,A,10.6
4563,11.07,A,7.56
4564,605.2,A,391.0
4565,11.34,A,8.01
4566,682.72,A,402.56
4567,10.62,A,8.46
4568,10.26,A,9.36
4569,14.1,A,10.6
4570,13.6,A,9.5
4571,14.2,A,10.2
4572,12.15,A,7.47
4573,14.0,A,10.5
4574,10.89,A,5.49
4575,11.6,A,11.2
4576,12.4,A,9.1
4577,10.53,A,7.92
4578,13.3,A,12.5
4579,12.3,A,10.9
4580,703.12,A,588.88
4581,13.0,A,9.8
4582,14.6,A,9.0
4583,10.35,A,9.27
4584,572.56,A,510.68
4585,11.7,A,8.3
4586,553.52,A,564.4
4587,13.1,A,7.8
4588,11.25,A,8.01
4589,13.1,A,12.5
4590,582.08,A,436.56
4591,15.8,A,10.7
4592,13.9,A,10.9
4593,11.9,A,10.9
4594,12.8,A,11.7
4595,12.4,A,10.8
4596,14.4,A,12.4
4597,652.12,A,514.08
4598,602.48,A,365.16
4599,656.88,A,477.36
4600,13.8,A,11.0
4601,11.34,A,8.19
4602,12.4,A,9.7
4603,9.99,A,8.28
4604,12.1,A,12.1
4605,600.44,A,390.32
4606,531.08,A,380.8
4607,14.5,A,9.4
4608,12.7,A,12.7
4609,14.3,A,10.2
4610,7.56,A,6.84
4611,13.7,A,13.2
4612,11.3,A,9.4
4613,11.7,A,11.7
4614,10.89,A,8.73
4615,11.7,A,9.8
4616,10.7,A,9.8
4617,10.17,A,7.47
4618,603.84,A,421.6
4619,642.6,A,377.4
4620,13.5,A,10.6
4621,714.68,A,484.84
4622,14.6,A,9.2
4623,707.88,A,529.72
4624,14.3,A,10.2
4625,13.1,A,10.2
4626,14.6,A,11.8
4627,10.8,A,8.01
4628,673.88,A,422.96
4629,679.32,A,408.68
4630,9.9,A,8.82
4631,13.7,A,11.2
4632,9.81,A,8.64
4633,11.4,A,9.3
4634,10.44,A,7.38
4635,10.3,A,9.3
4636,13.0,A,10.3
4637,628.32,A,544.68
4638,9.36,A,8.37
4639,14.7,A,9.0
4640,14.0,A,10.3
4641,12.1,A,8.5
4642,469.88,A,520.88
4643,12.4,A,12.1
4644,14.7,A,11.2
4645,11.88,A,10.89
4646,11.43,A,8.1
4647,14.0,A,10.6
4648,14.0,A,10.7
4649,13.0,A,9.7
4650,12.6,A,13.0
4651,12.06,A,8.64
4652,613.36,A,467.84
4653,10.98,A,7.83
4654,600.44,A,509.32
4655,14.4,A,10.0
4656,9.18,A,9.0
4657,550.8,A,486.2
4658,14.5,A,7.1
4659,13.7,A,9.0
4660,11.9,A,10.3
4661,11.6,A,8.5
4662,10.8,A,8.1
4663,14.8,A,11.0
4664,638.52,A,520.2
4665,14.6,A,10.3
4666,13.4,A,9.2
4667,553.52,A,475.32
4668,10.71,A,6.48
4669,13.0,A,10.6
4670,13.9,A,11.3
4671,11.3,A,9.9
4672,9.63,A,6.21
4673,11.2,A,7.7
4674,660.28,A,448.12
4675,11.43,A,7.47
4676,14.6,A,11.3
4677,10.44,A,8.19
4678,12.9,A,12.2
4679,697.0,A,439.28
4680,11.1,A,10.3
4681,622.2,A,432.48
4682,13.9,A,10.0
4683,12.15,A,7.29
4684,12.9,A,11.4
4685,636.48,A,344.08
4686,505.24,A,520.2
4687,15.0,A,7.9
4688,13.3,A,8.8
4689,10.62,A,8.37
4690,13.5,A,9.6
4691,12.0,A,11.2
4692,13.2,A,10.7
4693,9.99,A,9.27
4694,10.26,A,8.01
4695,14.0,A,10.0
4696,12.9,A,11.7
4697,14.5,A,11.3
4698,720.12,A,294.44
4699,614.72,A,462.4
4700,15.7,A,11.7
4701,606.56,A,531.08
4702,515.44,A,454.24
4703,12.5,A,10.3
4704,11.07,A,8.73
4705,11.79,A,6.84
4706,11.34,A,9.36
4707,8.82,A,8.37
4708,10.98,A,7.02
4709,733.72,A,488.24
4710,12.6,A,9.2
4711,626.28,A,507.28
4712,10.6,A,11.4
4713,11.7,A,9.7
4714,11.7,A,7.74
4715,667.76,A,427.72
4716,9.99,A,8.46
4717,10.53,A,8.82
4718,10.44,A,7.74
4719,13.0,A,8.9
4720,14.9,A,10.7
4721,12.5,A,11.8
4722,11.8,A,9.3
4723,12.6,A,11.1
4724,11.7,A,12.7
4725,14.2,A,12.1
4726,11.2,A,11.2
4727,11.9,A,8.4
4728,11.43,A,10.53
4729,12.7,A,13.4
4730,12.9,A,10.6
4731,12.1,A,8.8
4732,10.44,A,8.73
4733,9.63,A,8.19
4734,13.1,A,11.4
4735,11.3,A,10.1
4736,688.16,A,637.84
4737,12.51,A,7.65
4738,10.26,A,8.55
4739,12.7,A,8.5
4740,14.0,A,9.4
4741,494.36,A,466.48
4742,14.1,A,10.7
4743,11.8,A,9.1
4744,12.3,A,9.3
4745,13.6,A,8.7
4746,13.1,A,8.4
4747,594.32,A,511.36
4748,13.1,A,9.2
4749,614.72,A,582.08
4750,13.8,A,8.9
4751,12.15,A,7.2
4752,13.6,A,10.4
4753,605.88,A,452.2
4754,10.89,A,7.02
4755,10.98,A,10.08
4756,593.64,A,523.6
4757,579.36,A,474.64
4758,9.9,A,8.01
4759,10.71,A,7.92
4760,10.89,A,6.48
4761,573.24,A,549.44
4762,14.2,A,9.5
4763,11.2,A,9.9
4764,726.24,A,563.72
4765,9.45,A,8.19
4766,629.0,A,441.32
4767,10.44,A,9.18
4768,14.3,A,9.9
4769,11.1,A,8.5
4770,11.8,A,10.8
4771,593.64,A,539.24
4772,582.08,A,523.6
4773,12.9,A,12.4
4774,15.0,A,10.2
4775,11.7,A,7.83
4776,12.6,A,12.0
4777,677.28,A,449.48
4778,13.7,A,13.8
4779,14.5,A,11.8
4780,10.26,A,9.45
4781,11.07,A,9.27
4782,578.0,A,416.16
4783,11.3,A,10.1
4784,13.4,A,8.6
4785,13.2,A,11.9
4786,13.3,A,11.8
4787,635.8,A,498.44
4788,10.3,A,11.2
4789,12.3,A,10.1
4790,9.63,A,8.01
4791,524.28,A,395.76
4792,599.08,A,400.52
4793,636.48,A,527.68
4794,632.4,A,394.4
4795,10.35,A,9.54
4796,13.0,A,9.1
4797,13.3,A,9.3
4798,12.9,A,10.6
4799,13.1,A,9.2
4800,10.44,A,7.2
4801,13.1,A,10.3
4802,13.7,A,9.8
4803,604.52,A,400.52
4804,14.1,A,8.2
4805,606.56,A,371.28
4806,12.2,A,9.4
4807,12.15,A,10.08
4808,10.71,A,7.11
4809,716.04,A,531.08
4810,13.9,A,11.5
4811,11.2,A,10.9
4812,11.7,A,8.2
4813,12.7,A,10.4
4814,9.36,A,7.65
4815,13.4,A,10.0
4816,11.25,A,6.03
4817,641.92,A,532.44
4818,11.25,A,6.75
4819,9.45,A,7.56
4820,12.5,A,12.0
4821,13.9,A,8.1
4822,14.9,A,7.8
4823,568.48,A,554.88
4824,13.0,A,9.7
4825,11.9,A,10.9
4826,13.2,A,12.4
4827,14.6,A,11.2
4828,14.0,A,10.3
4829,12.9,A,9.3
4830,13.2,A,10.3
4831,14.6,A,11.5
4832,11.25,A,8.73
4833,14.2,A,10.6
4834,13.0,A,10.8
4835,605.2,A,399.16
4836,11.16,A,9.36
4837,12.3,A,8.1
4838,10.44,A,7.92
4839,12.42,A,7.29
4840,13.6,A,10.1
4841,12.4,A,11.1
4842,11.6,A,9.7
4843,561.68,A,528.36
4844,575.96,A,420.24
4845,11.07,A,5.4
4846,12.8,A,10.6
4847,9.99,A,6.57
4848,9.36,A,8.91
4849,16.5,A,9.9
4850,535.84,A,503.88
4851,13.5,A,10.6
4852,529.04,A,435.2
4853,11.34,A,7.74
4854,11.8,A,11.3
4855,12.6,A,10.4
4856,14.2,A,13.2
4857,10.8,A,6.75
4858,13.9,A,11.6
4859,9.09,A,7.83
4860,12.78,A,7.47
4861,14.5,A,12.0
4862,575.96,A,582.76
4863,11.16,A,6.48
4864,12.4,A,11.9
4865,13.3,A,9.5
4866,14.7,A,12.0
4867,477.36,A,403.92
4868,15.6,A,10.6
4869,12.5,A,8.8
4870,14.5,A,7.8
4871,11.16,A,9.18
4872,13.1,A,8.4
4873,638.52,A,499.8
4874,13.7,A,9.7
4875,10.62,A,6.75
4876,539.24,A,454.92
4877,10.17,A,7.65
4878,12.24,A,7.65
4879,571.2,A,593.64
4880,453.56,A,597.72
4881,10.8,A,5.49
4882,12.6,A,9.6
4883,564.4,A,400.52
4884,488.92,A,442.68
4885,597.72,A,422.96
4886,11.8,A,10.6
4887,14.3,A,9.5
4888,8.73,A,8.01
4889,10.35,A,8.46
4890,13.6,A,10.8
4891,11.97,A,7.65
4892,11.5,A,10.6
4893,11.9,A,7.8
4894,12.69,A,7.56
4895,11.61,A,7.2
4896,8.55,A,7.2
4897,12.1,A,11.4
4898,13.3,A,11.2
4899,584.8,A,395.08
4900,9.63,A,9.36
4901,12.96,A,9.81
4902,14.4,A,8.7
4903,520.2,A,468.52
4904,12.9,A,8.4
4905,16.0,A,10.5
4906,12.3,A,9.8
4907,10.9,A,9.3
4908,9.99,A,7.65
4909,692.92,A,498.44
4910,601.8,A,523.6
4911,10.71,A,7.47
4912,12.9,A,10.5
4913,11.6,A,8.4
4914,9.54,A,8.55
4915,14.0,A,14.6
4916,7.65,A,8.64
4917,13.2,A,13.2
4918,13.0,A,8.4
4919,11.16,A,5.85
4920,8.37,A,7.83
4921,11.7,A,10.6
4922,635.8,A,569.16
4923,12.5,A,9.2
4924,9.63,A,8.19
4925,8.91,A,11.52
4926,686.12,A,377.4
4927,603.84,A,482.12
4928,13.7,A,9.0
4929,14.1,A,9.9
4930,13.3,A,9.6
4931,13.1,A,8.8
4932,10.62,A,9.9
4933,10.89,A,8.73
4934,10.35,A,6.39
4935,13.7,A,8.0
4936,12.9,A,8.7
4937,13.1,A,8.0
4938,10.26,A,8.55
4939,13.3,A,11.8
4940,543.32,A,260.44
4941,13.3,A,10.7
4942,13.8,A,8.8
4943,13.7,A,10.2
4944,12.7,A,10.2
4945,452.2,A,544.0
4946,565.08,A,478.04
4947,11.25,A,10.08
4948,13.8,A,11.4
4949,12.3,A,9.0
4950,15.9,A,11.7
4951,14.3,A,11.2
4952,15.2,A,10.8
4953,527.0,A,470.56
4954,13.4,A,7.1
4955,9.5,A,10.7
4956,12.7,A,10.7
4957,506.6,A,399.84
4958,14.5,A,11.0
4959,14.5,A,8.8
4960,12.7,A,12.1
4961,9.0,A,4.59
4962,629.0,A,433.84
4963,10.53,A,7.56
4964,561.0,A,438.6
4965,11.8,A,9.9
4966,550.8,A,499.8
4967,12.0,A,11.3
4968,653.48,A,492.32
4969,10.3,A,10.1
4970,13.6,A,9.3
4971,12.6,A,10.7
4972,652.12,A,339.32
4973,14.9,A,10.9
4974,633.76,A,465.12
4975,13.8,A,11.4
4976,664.36,A,504.56
4977,11.9,A,11.2
4978,12.5,A,7.8
4979,12.15,A,6.57
4980,10.8,A,10.98
4981,610.64,A,464.44
4982,619.48,A,549.44
4983,12.2,A,9.0
4984,573.24,A,480.08
