ID,premium,risk_type,currency
1219,10.5,A,EUR
1220,12.2,A,USD
1221,85.6,A,CNY
1222,11.7,A,USD
1223,11.5,A,EUR
1224,76.2,A,CNY
1225,98.9,A,CNY
1226,12.9,A,USD
1227,12.2,A,USD
1228,13.7,A,USD
1229,82.7,A,CNY
1230,93.8,A,CNY
1231,13.8,A,USD
1232,89,A,CNY
1233,94,A,CNY
1234,10.5,A,EUR
1235,13.8,A,EUR
1236,10.5,A,USD
1237,12.6,A,USD
1238,89.5,A,CNY
1239,84.3,A,CNY
1240,84.6,A,CNY
1241,13.6,A,USD
1242,10.9,A,EUR
1243,74.5,A,CNY
1244,13,A,USD
1245,12,A,USD
1246,72.7,A,CNY
1247,12.6,A,EUR
1248,12.7,A,EUR
1249,13.1,A,USD
1250,11.5,A,USD
1251,14.7,A,EUR
1252,12.5,A,EUR
1253,13.2,A,USD
1254,11.3,A,EUR
1255,11.6,A,USD
1256,13.2,A,EUR
1257,13.5,A,USD
1258,13.3,A,USD
1259,89.8,A,CNY
1260,14.5,A,USD
1261,78.4,A,CNY
1262,12.5,A,EUR
1263,10.8,A,EUR
1264,12.3,A,USD
1265,89.1,A,CNY
1266,10.5,A,EUR
1267,12.2,A,USD
1268,11.8,A,USD
1269,13,A,USD
1270,14.5,A,USD
1271,11.7,A,EUR
1272,10.5,A,EUR
1273,11.1,A,EUR
1274,94.8,A,CNY
1275,12.8,A,EUR
1276,13.3,A,USD
1277,12.1,A,USD
1278,10.6,A,EUR
1279,96.6,A,CNY
1280,11.5,A,USD
1281,15.3,A,USD
1282,11.9,A,USD
1283,13.8,A,USD
1284,13.7,A,USD
1285,10.7,A,EUR
1286,13.6,A,USD
1287,12.4,A,USD
1288,13.1,A,USD
1289,10.6,A,EUR
1290,14.3,A,USD
1291,11.8,A,USD
1292,73.3,A,CNY
1293,12.7,A,EUR
1294,94.2,A,CNY
1295,88.2,A,CNY
1296,12.2,A,EUR
1297,11.3,A,USD
1298,13.6,A,USD
1299,14.2,A,USD
1300,10.6,A,USD
1301,13.7,A,USD
1302,14,A,EUR
1303,11.9,A,USD
1304,12.7,A,USD
1305,81.8,A,CNY
1306,9.3,A,USD
1307,12.5,A,USD
1308,15.1,A,USD
1309,13,A,USD
1310,12.1,A,USD
1311,12.4,A,USD
1312,13,A,USD
1313,11.4,A,USD
1314,14.7,A,EUR
1315,12.4,A,USD
1316,13.7,A,USD
1317,85.5,A,CNY
1318,13,A,USD
1319,14.1,A,USD
1320,104.3,A,CNY
1321,10.9,A,USD
1322,85.2,A,CNY
1323,10.5,A,EUR
1324,75.5,A,CNY
1325,13.4,A,USD
1326,12.1,A,USD
1327,12.5,A,USD
1328,77.8,A,CNY
1329,13.1,A,USD
1330,14.1,A,USD
1331,12.1,A,EUR
1332,12.9,A,USD
1333,13.4,A,USD
1334,86.5,A,CNY
1335,13.3,A,USD
1336,12.7,A,USD
1337,14.4,A,USD
1338,13.4,A,USD
1339,10.2,A,EUR
1340,13.4,A,EUR
1341,11.7,A,USD
1342,12.3,A,USD
1343,89.4,A,CNY
1344,88.5,A,CNY
1345,11.8,A,USD
1346,11.6,A,EUR
1347,12,A,EUR
1348,12.6,A,EUR
1349,74.5,A,CNY
1350,88.7,A,CNY
1351,13.9,A,USD
1352,12.3,A,USD
1353,12.9,A,USD
1354,13.5,A,USD
1355,15.2,A,USD
1356,83.2,A,CNY
1357,90.8,A,CNY
1358,11.9,A,EUR
1359,97,A,CNY
1360,12.2,A,EUR
1361,10.5,A,EUR
1362,12.3,A,USD
1363,84.1,A,CNY
1364,13.5,A,USD
1365,14.4,A,USD
1366,14.4,A,USD
1367,14.5,A,USD
1368,13.7,A,USD
1369,10.9,A,EUR
1370,13.2,A,USD
1371,91.8,A,CNY
1372,14,A,USD
1373,94.3,A,CNY
1374,13,A,EUR
1375,89,A,CNY
1376,13.1,A,USD
1377,88.4,A,CNY
1378,13.5,A,EUR
1379,13.6,A,USD
1380,96.7,A,CNY
1381,11.6,A,EUR
1382,13.6,A,USD
1383,12.1,A,USD
1384,81.2,A,CNY
1385,12.6,A,USD
1386,83.8,A,CNY
1387,14,A,USD
1388,91.2,A,CNY
1389,11.5,A,EUR
1390,13,A,EUR
1391,88.5,A,CNY
1392,11.5,A,USD
1393,12.3,A,USD
1394,11.9,A,EUR
1395,12.5,A,EUR
1396,12.1,A,USD
1397,12.6,A,EUR
1398,10.8,A,EUR
1399,81,A,CNY
1400,14.3,A,USD
1401,80.7,A,CNY
1402,14.1,A,USD
1403,10.4,A,EUR
1404,14.6,A,EUR
1405,11.5,A,EUR
1406,13,A,USD
1407,92.8,A,CNY
1408,115.2,A,CNY
1409,95,A,CNY
1410,10.3,A,EUR
1411,12.6,A,USD
1412,11.8,A,EUR
1413,13.6,A,USD
1414,78.7,A,CNY
1415,14.2,A,USD
1416,12.2,A,EUR
1417,12.4,A,USD
1418,12.8,A,USD
1419,13.6,A,EUR
1420,11,A,EUR
1421,86.4,A,CNY
1422,90,A,CNY
1423,13.3,A,USD
1424,10,A,USD
1425,14.2,A,USD
1426,12.3,A,EUR
1427,12.3,A,USD
1428,13.2,A,USD
1429,11.8,A,USD
1430,12.8,A,USD
1431,11.5,A,USD
1432,82.5,A,CNY
1433,12.4,A,USD
1434,11.1,A,EUR
1435,12.1,A,EUR
1436,14.2,A,USD
1437,12.4,A,EUR
1438,13.3,A,USD
1439,15.1,A,USD
1440,12.3,A,USD
1441,97.9,A,CNY
1442,13.5,A,USD
1443,12.2,A,EUR
1444,14.3,A,USD
1445,91.8,A,CNY
1446,10.3,A,EUR
1447,92.9,A,CNY
1448,10,A,EUR
1449,9.7,A,EUR
1450,15.1,A,USD
1451,10.9,A,USD
1452,14,A,USD
1453,12.7,A,USD
1454,9.2,A,EUR
1455,12.4,A,USD
1456,11.6,A,EUR
1457,76.3,A,CNY
1458,13.7,A,USD
1459,11.3,A,EUR
1460,77.6,A,CNY
1461,15.4,A,USD
1462,13.2,A,EUR
1463,86.3,A,CNY
1464,11.2,A,EUR
1465,10.9,A,EUR
1466,10.6,A,EUR
1467,90.8,A,CNY
1468,13.6,A,USD
1469,14,A,USD
1470,17,A,USD
1471,11,A,EUR
1472,12.4,A,EUR
1473,15.9,A,USD
1474,14.8,A,USD
1475,12.5,A,USD
1476,98,A,CNY
1477,11,A,USD
1478,12.7,A,USD
1479,92.6,A,CNY
1480,89.5,A,CNY
1481,11.8,A,USD
1482,79.5,A,CNY
1483,15.1,A,USD
1484,85.2,A,CNY
1485,12.1,A,USD
1486,13,A,USD
1487,12.3,A,USD
1488,12.7,A,USD
1489,95.3,A,CNY
1490,11.4,A,EUR
1491,91.6,A,CNY
1492,12.5,A,EUR
1493,13.7,A,USD
1494,14.8,A,USD
1495,12.2,A,USD
1496,14,A,USD
1497,70.6,A,CNY
1498,12.2,A,USD
1499,15.7,A,USD
1500,13.6,A,USD
1501,99.1,A,CNY
1502,13.9,A,USD
1503,88.2,A,CNY
1504,11.6,A,USD
1505,13.6,A,EUR
1506,13.9,A,USD
1507,75.8,A,CNY
1508,12.9,A,EUR
1509,16.7,A,USD
1510,14.3,A,USD
1511,15.3,A,USD
1512,13.3,A,EUR
1513,13.3,A,USD
1514,10.8,A,EUR
1515,13.5,A,USD
1516,13.4,A,USD
1517,12.9,A,USD
1518,12.6,A,EUR
1519,92.9,A,CNY
1520,14.2,A,USD
1521,11.1,A,USD
1522,15.6,A,USD
1523,11.3,A,EUR
1524,12.4,A,USD
1525,11.6,A,USD
1526,11.3,A,USD
1527,15.2,A,USD
1528,13.2,A,USD
1529,83.7,A,CNY
1530,13.6,A,USD
1531,84.3,A,CNY
1532,83,A,CNY
1533,14.8,A,USD
1534,12.2,A,USD
1535,10.9,A,EUR
1536,12.1,A,USD
1537,11.7,A,EUR
1538,12.2,A,EUR
1539,10.9,A,EUR
1540,12.2,A,USD
1541,11.2,A,USD
1542,11.6,A,USD
1543,13.8,A,USD
1544,11.3,A,EUR
1545,12.2,A,EUR
1546,13.9,A,USD
1547,14.1,A,USD
1548,108.6,A,CNY
1549,11.3,A,USD
1550,14.4,A,USD
1551,15,A,USD
1552,11.7,A,EUR
1553,61.5,A,CNY
1554,14.5,A,USD
1555,12.7,A,EUR
1556,68,A,CNY
1557,12,A,USD
1558,13,A,USD
1559,12.7,A,EUR
1560,12.9,A,USD
1561,14.7,A,USD
1562,97.4,A,CNY
1563,12.1,A,USD
1564,11.9,A,USD
1565,15.4,A,USD
1566,90.9,A,CNY
1567,106.4,A,CNY
1568,13.5,A,USD
1569,81.1,A,CNY
1570,12.4,A,EUR
1571,15.2,A,USD
1572,89.1,A,CNY
1573,12.6,A,USD
1574,12.7,A,USD
1575,13.9,A,USD
1576,95.9,A,CNY
1577,13.1,A,USD
1578,12.8,A,USD
1579,77.6,A,CNY
1580,103.2,A,CNY
1581,12.4,A,EUR
1582,72,A,CNY
1583,93.4,A,CNY
1584,82.1,A,CNY
1585,92.6,A,CNY
1586,11.5,A,EUR
1587,12.4,A,USD
1588,74,A,CNY
1589,12.6,A,EUR
1590,13.6,A,USD
1591,95.4,A,CNY
1592,14,A,USD
1593,82.9,A,CNY
1594,11.6,A,USD
1595,12.2,A,USD
1596,14.1,A,USD
1597,94.2,A,CNY
1598,13.1,A,USD
1599,12.5,A,EUR
1600,15.1,A,USD
1601,13.4,A,USD
1602,13.9,A,USD
1603,11.5,A,EUR
1604,9.4,A,EUR
1605,13.6,A,USD
1606,12,A,EUR
1607,14.8,A,USD
1608,11.8,A,USD
1609,11.6,A,USD
1610,13.3,A,USD
1611,13,A,USD
1612,13.4,A,EUR
1613,10.3,A,EUR
1614,10.9,A,EUR
1615,12.3,A,USD
1616,11.8,A,EUR
1617,14,A,USD
1618,12.9,A,USD
1619,12.2,A,EUR
1620,84.5,A,CNY
1621,11.6,A,EUR
1622,12.9,A,USD
1623,13.3,A,USD
1624,11.5,A,USD
1625,11.1,A,EUR
1626,10.8,A,EUR
1627,13.6,A,USD
1628,97,A,CNY
1629,15.4,A,USD
1630,13.4,A,USD
1631,78.9,A,CNY
1632,15.8,A,USD
1633,93,A,CNY
1634,12.1,A,USD
1635,109.9,A,CNY
1636,13.4,A,EUR
1637,89.4,A,CNY
1638,11.6,A,USD
1639,13.4,A,EUR
1640,12.5,A,USD
1641,12.7,A,USD
1642,15,A,USD
1643,89,A,CNY
1644,13.2,A,USD
1645,80.4,A,CNY
1646,99.1,A,CNY
1647,12.9,A,EUR
1648,13.4,A,USD
1649,10.9,A,USD
1650,15.2,A,USD
1651,11.8,A,EUR
1652,11.9,A,EUR
1653,72.5,A,CNY
1654,11.5,A,EUR
1655,13.9,A,USD
1656,9.3,A,EUR
1657,13.5,A,USD
1658,13.9,A,USD
1659,13.2,A,USD
1660,13,A,USD
1661,13.5,A,EUR
1662,13.3,A,USD
1663,11.8,A,USD
1664,14.6,A,USD
1665,11.2,A,USD
1666,14.3,A,USD
1667,15.5,A,USD
1668,12.3,A,EUR
1669,85.2,A,CNY
1670,10.1,A,USD
1671,14.8,A,USD
1672,11.7,A,USD
1673,12.3,A,USD
1674,11.3,A,EUR
1675,13.3,A,EUR
1676,12.9,A,USD
1677,12.5,A,USD
1678,74.2,A,CNY
1679,12.8,A,USD
1680,13.5,A,USD
1681,11.4,A,EUR
1682,12.6,A,EUR
1683,120.8,A,CNY
1684,13.2,A,USD
1685,12.3,A,USD
1686,11.9,A,USD
1687,13.2,A,USD
1688,88.2,A,CNY
1689,12.6,A,USD
1690,9.3,A,USD
1691,11,A,EUR
1692,13.6,A,USD
1693,8.9,A,USD
1694,12,A,USD
1695,76.7,A,CNY
1696,101.4,A,CNY
1697,10.9,A,USD
1698,13.8,A,USD
1699,91,A,CNY
1700,98.5,A,CNY
1701,111.8,A,CNY
1702,95.3,A,CNY
1703,11.9,A,EUR
1704,88.3,A,CNY
1705,12.9,A,USD
1706,11.7,A,EUR
1707,12.7,A,EUR
1708,12.1,A,USD
1709,13,A,USD
1710,11.4,A,EUR
1711,92.2,A,CNY
1712,87.9,A,CNY
1713,11.6,A,USD
1714,11.5,A,EUR
1715,14.3,A,USD
1716,13.1,A,USD
1717,10.9,A,EUR
1718,92.9,A,CNY
1719,13.7,A,USD
1720,11.8,A,EUR
1721,72.2,A,CNY
1722,80.3,A,CNY
1723,12.5,A,EUR
1724,89.4,A,CNY
1725,13.4,A,USD
1726,12.9,A,EUR
1727,94.7,A,CNY
1728,11.6,A,EUR
1729,101.8,A,CNY
1730,14.3,A,USD
1731,12,A,EUR
1732,10.7,A,USD
1733,14.2,A,USD
1734,14.7,A,USD
1735,12.5,A,USD
1736,13.7,A,USD
1737,12.1,A,EUR
1738,12.1,A,EUR
1739,11.2,A,EUR
1740,13,A,USD
1741,10.9,A,EUR
1742,82.9,A,CNY
1743,97.7,A,CNY
1744,13.9,A,USD
1745,11.8,A,USD
1746,11.7,A,USD
1747,86.1,A,CNY
1748,12.8,A,USD
1749,12.3,A,EUR
1750,11.1,A,USD
1751,85.3,A,CNY
1752,83.1,A,CNY
1753,12.1,A,USD
1754,15,A,USD
1755,10.6,A,USD
1756,13,A,EUR
1757,12.8,A,USD
1758,11.9,A,EUR
1759,87.3,A,CNY
1760,10.1,A,EUR
1761,13.9,A,USD
1762,13,A,EUR
1763,16.2,A,USD
1764,13.2,A,USD
1765,87.5,A,CNY
1766,12.4,A,USD
1767,10.7,A,EUR
1768,13.6,A,USD
1769,12.3,A,USD
1770,13.3,A,USD
1771,83.3,A,CNY
1772,11.8,A,EUR
1773,12.3,A,USD
1774,92.6,A,CNY
1775,12.5,A,EUR
1776,13.2,A,USD
1777,89.8,A,CNY
1778,13.2,A,USD
1779,11.7,A,USD
1780,13.7,A,USD
1781,13.7,A,USD
1782,90.3,A,CNY
1783,11.8,A,USD
1784,94.7,A,CNY
1785,99.9,A,CNY
1786,12.8,A,EUR
1787,13.1,A,EUR
1788,13.4,A,USD
1789,12.8,A,EUR
1790,14.2,A,USD
1791,11.8,A,USD
1792,12.7,A,USD
1793,92.7,A,CNY
1794,15.2,A,USD
1795,12.9,A,USD
1796,12.2,A,EUR
1797,11.1,A,EUR
1798,78.3,A,CNY
1799,97.5,A,CNY
1800,12,A,EUR
1801,12.6,A,USD
1802,13.6,A,USD
1803,13.9,A,USD
1804,105.3,A,CNY
1805,11.1,A,EUR
1806,14.6,A,USD
1807,11.1,A,EUR
1808,12.2,A,USD
1809,83.7,A,CNY
1810,11.2,A,EUR
1811,12.9,A,USD
1812,12.7,A,USD
1813,11.5,A,EUR
1814,12,A,USD
1815,14.8,A,USD
1816,15.7,A,USD
1817,10.9,A,EUR
1818,14.4,A,USD
1819,100.7,A,CNY
1820,13.5,A,USD
1821,12.1,A,EUR
1822,13,A,USD
1823,15.5,A,USD
1824,13,A,USD
1825,13.5,A,USD
1826,12.6,A,USD
1827,13.2,A,USD
1828,10.7,A,EUR
1829,14.5,A,USD
1830,11.7,A,EUR
1831,13.5,A,USD
1832,15.1,A,USD
1833,86.1,A,CNY
1834,12.4,A,EUR
1835,11.7,A,EUR
1836,13.7,A,USD
1837,12.7,A,USD
1838,11.5,A,EUR
1839,12.7,A,USD
1840,81.1,A,CNY
1841,12.2,A,USD
1842,94,A,CNY
1843,11.3,A,EUR
1844,93.9,A,CNY
1845,12.7,A,EUR
1846,10.4,A,EUR
1847,10.2,A,EUR
1848,11.5,A,EUR
1849,12.7,A,USD
1850,86,A,CNY
1851,10.4,A,EUR
1852,11.5,A,EUR
1853,13.5,A,USD
1854,13.3,A,USD
1855,92.1,A,CNY
1856,14.8,A,EUR
1857,12.4,A,USD
1858,13.7,A,USD
1859,12.9,A,EUR
1860,13.1,A,USD
1861,12,A,USD
1862,11.9,A,EUR
1863,10.5,A,EUR
1864,11.9,A,USD
1865,89.5,A,CNY
1866,12.5,A,USD
1867,11.7,A,EUR
1868,69.4,A,CNY
1869,88.4,A,CNY
1870,76,A,CNY
1871,14.5,A,USD
1872,92.8,A,CNY
1873,83,A,CNY
1874,83.1,A,CNY
1875,91.5,A,CNY
1876,13.8,A,USD
1877,11.8,A,USD
1878,13.7,A,USD
1879,13.2,A,USD
1880,80.4,A,CNY
1881,11.4,A,EUR
1882,11.6,A,EUR
1883,13.3,A,USD
1884,12.4,A,USD
1885,11.8,A,EUR
1886,13.8,A,EUR
1887,14,A,USD
1888,10.8,A,EUR
1889,12.4,A,USD
1890,10.2,A,EUR
1891,13.2,A,USD
1892,11.5,A,USD
1893,11.5,A,EUR
1894,85.4,A,CNY
1895,11.8,A,USD
1896,11.5,A,EUR
1897,11.5,A,USD
1898,12.3,A,EUR
1899,14.4,A,USD
1900,12,A,USD
1901,93.4,A,CNY
1902,12.4,A,USD
1903,12.9,A,USD
1904,11.4,A,USD
1905,11.5,A,USD
1906,86.1,A,CNY
1907,13.9,A,USD
1908,11.8,A,USD
1909,80.6,A,CNY
1910,12.4,A,USD
1911,9.3,A,EUR
1912,14.3,A,USD
1913,12.1,A,USD
1914,12.3,A,EUR
1915,16.3,A,USD
1916,12.1,A,USD
1917,12.6,A,USD
1918,12,A,USD
1919,12.3,A,USD
1920,15.6,A,USD
1921,91.3,A,CNY
1922,99.1,A,CNY
1923,10.4,A,USD
1924,92.7,A,CNY
1925,13,A,USD
1926,83.6,A,CNY
1927,12,A,USD
1928,12,A,USD
1929,13.4,A,EUR
1930,77.7,A,CNY
1931,14.1,A,USD
1932,88.1,A,CNY
1933,12.9,A,USD
1934,11.6,A,EUR
1935,12.4,A,USD
1936,97.9,A,CNY
1937,12.6,A,USD
1938,109,A,CNY
1939,14.1,A,USD
1940,15.5,A,USD
1941,12,A,USD
1942,11.6,A,EUR
1943,14.3,A,USD
1944,12.6,A,EUR
1945,76.1,A,CNY
1946,91.6,A,CNY
1947,14.4,A,USD
1948,12.5,A,USD
1949,101.2,A,CNY
1950,74.6,A,CNY
1951,12.5,A,USD
1952,12.7,A,EUR
1953,85.6,A,CNY
1954,12.7,A,USD
1955,11,A,EUR
1956,13.3,A,USD
1957,13.1,A,USD
1958,113.8,A,CNY
1959,80.7,A,CNY
1960,12.9,A,EUR
1961,11.7,A,USD
1962,80.1,A,CNY
1963,14.3,A,USD
1964,15.1,A,USD
1965,65.5,A,CNY
1966,12.7,A,EUR
1967,101.4,A,CNY
1968,85.6,A,CNY
1969,80.3,A,CNY
1970,78.7,A,CNY
1971,11.6,A,USD
1972,12.4,A,USD
1973,12.1,A,USD
1974,11.6,A,USD
1975,88.6,A,CNY
1976,65,A,CNY
1977,76.3,A,CNY
1978,11.8,A,USD
1979,12.1,A,EUR
1980,11.8,A,USD
1981,16,A,USD
1982,77.6,A,CNY
1983,11.1,A,EUR
1984,87.4,A,CNY
1985,82.8,A,CNY
1986,12.2,A,USD
1987,10.6,A,EUR
1988,13.8,A,EUR
1989,12.8,A,EUR
1990,98.4,A,CNY
1991,106.1,A,CNY
1992,14.3,A,USD
1993,87.2,A,CNY
1994,11.7,A,USD
1995,15.8,A,USD
1996,12.7,A,USD
1997,12.8,A,USD
1998,11.2,A,USD
1999,12.4,A,EUR
2000,12.3,A,EUR
2001,85.8,A,CNY
2002,11.6,A,USD
2003,74.7,A,CNY
2004,99.3,A,CNY
2005,97.1,A,CNY
2006,94.7,A,CNY
2007,13.2,A,USD
2008,13.6,A,EUR
2009,15,A,USD
2010,11.6,A,USD
2011,92.1,A,CNY
2012,12.4,A,USD
2013,96.1,A,CNY
2014,13.1,A,USD
2015,11.9,A,EUR
2016,78.5,A,CNY
2017,10.5,A,EUR
2018,13.3,A,USD
2019,88.5,A,CNY
2020,14,A,USD
2021,11.5,A,USD
2022,80.3,A,CNY
2023,79.1,A,CNY
2024,11.2,A,EUR
2025,13.8,A,USD
2026,83.8,A,CNY
2027,98.5,A,CNY
2028,13.7,A,USD
2029,15.9,A,USD
2030,82,A,CNY
2031,12.1,A,USD
2032,73.4,A,CNY
2033,12.5,A,EUR
2034,12.9,A,EUR
2035,11.2,A,EUR
2036,13.6,A,USD
2037,12.5,A,EUR
2038,12.2,A,USD
2039,12.1,A,USD
2040,14.6,A,USD
2041,13.2,A,USD
2042,13.4,A,USD
2043,80.2,A,CNY
2044,14.9,A,USD
2045,12.8,A,EUR
2046,12.9,A,USD
2047,12.9,A,EUR
2048,11.9,A,EUR
2049,13.1,A,USD
2050,14.4,A,USD
2051,64.6,A,CNY
2052,12.5,A,USD
2053,90.4,A,CNY
2054,14.6,A,USD
2055,15.1,A,USD
2056,15.6,A,USD
2057,12.2,A,USD
2058,94.5,A,CNY
2059,11.9,A,USD
2060,78.3,A,CNY
2061,11.9,A,USD
2062,90.7,A,CNY
2063,12.2,A,USD
2064,12.8,A,USD
2065,96.4,A,CNY
2066,13.6,A,USD
2067,13.1,A,USD
2068,106,A,CNY
2069,10.2,A,EUR
2070,82.8,A,CNY
2071,100.8,A,CNY
2072,13.7,A,EUR
2073,12.2,A,USD
2074,92.1,A,CNY
2075,13.3,A,USD
2076,78.6,A,CNY
2077,79.7,A,CNY
2078,91.3,A,CNY
2079,77.1,A,CNY
2080,95.2,A,CNY
2081,82,A,CNY
2082,12.2,A,EUR
2083,12.1,A,EUR
2084,15.2,A,USD
2085,12.1,A,USD
2086,12.3,A,USD
2087,13.4,A,USD
2088,13.2,A,USD
2089,13,A,USD
2090,13.4,A,USD
2091,11,A,EUR
2092,11.4,A,USD
2093,11.7,A,EUR
2094,11.6,A,USD
2095,11.7,A,USD
2096,12.2,A,USD
2097,79.3,A,CNY
2098,13,A,USD
2099,12.4,A,USD
2100,14.2,A,USD
2101,13.2,A,USD
2102,85.8,A,CNY
2103,11.7,A,USD
2104,12.1,A,USD
2105,100.9,A,CNY
2106,12.2,A,EUR
2107,82.2,A,CNY
2108,15,A,USD
2109,11.7,A,USD
2110,13.5,A,USD
2111,12.9,A,USD
2112,15.4,A,USD
2113,10.8,A,USD
2114,11.6,A,USD
2115,11.9,A,EUR
2116,12.2,A,EUR
2117,85.8,A,CNY
2118,12.9,A,USD
2119,15,A,USD
2120,11.6,A,EUR
2121,10,A,USD
2122,104.3,A,CNY
2123,92.9,A,CNY
2124,13.7,A,EUR
2125,13.2,A,USD
2126,13.1,A,USD
2127,101.4,A,CNY
2128,90.6,A,CNY
2129,12,A,USD
2130,90.6,A,CNY
2131,93.7,A,CNY
2132,13.2,A,USD
2133,16.3,A,USD
2134,10.5,A,EUR
2135,13.9,A,EUR
2136,12.9,A,USD
2137,13.5,A,USD
2138,87.1,A,CNY
2139,68.6,A,CNY
2140,12.4,A,USD
2141,96.1,A,CNY
2142,13.6,A,EUR
2143,11.4,A,EUR
2144,11.7,A,USD
2145,82.3,A,CNY
2146,78.1,A,CNY
2147,80.9,A,CNY
2148,92,A,CNY
2149,11.2,A,USD
2150,89.7,A,CNY
2151,10.2,A,USD
2152,10.2,A,EUR
2153,12.4,A,EUR
2154,13.7,A,USD
2155,82.4,A,CNY
2156,92.7,A,CNY
2157,13.3,A,USD
2158,13.6,A,USD
2159,12.7,A,USD
2160,69.5,A,CNY
2161,13.5,A,USD
2162,87.3,A,CNY
2163,10.7,A,EUR
2164,13.2,A,EUR
2165,9.7,A,EUR
2166,11.6,A,USD
2167,12.8,A,USD
2168,11.9,A,USD
2169,12.3,A,USD
2170,14.6,A,USD
2171,100,A,CNY
2172,15.5,A,USD
2173,11.4,A,EUR
2174,12.4,A,EUR
2175,98.7,A,CNY
2176,11.9,A,USD
2177,11.6,A,EUR
2178,13.9,A,EUR
2179,12.3,A,EUR
2180,11.1,A,EUR
2181,13.2,A,USD
2182,12.1,A,USD
2183,11,A,EUR
2184,15.4,A,USD
2185,9.4,A,EUR
2186,13,A,USD
2187,13.4,A,USD
2188,9.6,A,EUR
2189,13.6,A,USD
2190,14.5,A,USD
2191,94.2,A,CNY
2192,11.4,A,USD
2193,14.2,A,USD
2194,15,A,USD
2195,13.5,A,USD
2196,100.7,A,CNY
2197,11.1,A,EUR
2198,12.7,A,EUR
2199,12.2,A,EUR
2200,12.5,A,USD
2201,13.8,A,USD
2202,11.8,A,USD
2203,12.6,A,USD
2204,11.9,A,EUR
2205,13.2,A,USD
2206,79.7,A,CNY
2207,14.8,A,USD
2208,13,A,USD
2209,13.4,A,USD
2210,100.6,A,CNY
2211,102.7,A,CNY
2212,10.2,A,EUR
2213,12.7,A,EUR
2214,12.8,A,USD
2215,10.9,A,USD
2216,13.2,A,USD
2217,99.2,A,CNY
2218,12.4,A,EUR
2219,14.1,A,USD
2220,98.7,A,CNY
2221,13.8,A,USD
2222,11.8,A,EUR
2223,14.4,A,USD
2224,92.3,A,CNY
2225,11.3,A,USD
2226,12.1,A,USD
2227,10.8,A,USD
2228,13.7,A,USD
2229,12.6,A,USD
2230,82.7,A,CNY
2231,12.1,A,USD
2232,13.2,A,USD
2233,12.5,A,EUR
2234,11.2,A,USD
2235,12.8,A,USD
2236,12.6,A,EUR
2237,14.5,A,USD
2238,9.7,A,EUR
2239,10.3,A,EUR
2240,95.1,A,CNY
2241,13.5,A,USD
2242,91.1,A,CNY
2243,11.2,A,EUR
2244,12.4,A,USD
2245,10.9,A,EUR
2246,17,A,USD
2247,98.5,A,CNY
2248,82.9,A,CNY
2249,12.8,A,USD
2250,12.2,A,USD
2251,83.9,A,CNY
2252,83.9,A,CNY
2253,12.3,A,USD
2254,91.1,A,CNY
2255,12.9,A,USD
2256,9.1,A,EUR
2257,75.7,A,CNY
2258,11.9,A,USD
2259,12,A,EUR
2260,12.1,A,EUR
2261,11.5,A,USD
2262,83.5,A,CNY
2263,14.8,A,USD
2264,84.9,A,CNY
2265,10.7,A,EUR
2266,11.6,A,USD
2267,12.7,A,USD
2268,12.6,A,EUR
2269,85,A,CNY
2270,13.5,A,EUR
2271,14.1,A,USD
2272,16.4,A,USD
2273,104,A,CNY
2274,9.9,A,EUR
2275,13.3,A,USD
2276,13,A,EUR
2277,10.1,A,EUR
2278,10.5,A,EUR
2279,14.4,A,USD
2280,89.2,A,CNY
2281,12.8,A,USD
2282,12.4,A,USD
2283,11,A,USD
2284,12.5,A,EUR
2285,13.7,A,USD
2286,14.3,A,USD
2287,13.8,A,EUR
2288,74.3,A,CNY
2289,88.5,A,CNY
2290,10.7,A,USD
2291,13.8,A,USD
2292,12.8,A,USD
2293,83.7,A,CNY
2294,86.2,A,CNY
2295,10.2,A,EUR
2296,10.5,A,USD
2297,92.2,A,CNY
2298,13.6,A,USD
2299,11.9,A,EUR
2300,12,A,USD
2301,11.3,A,USD
2302,11.8,A,EUR
2303,97.7,A,CNY
2304,12.8,A,USD
2305,13.4,A,USD
2306,10.2,A,EUR
2307,12.1,A,USD
2308,12.4,A,USD
2309,9.6,A,EUR
2310,14.2,A,USD
2311,13.9,A,USD
2312,12.1,A,EUR
2313,11.3,A,EUR
2314,82.3,A,CNY
2315,14.5,A,USD
2316,11.2,A,USD
2317,14.5,A,USD
2318,94,A,CNY
2319,10.6,A,EUR
2320,72.2,A,CNY
2321,9.7,A,EUR
2322,13,A,USD
2323,12.5,A,USD
2324,12.2,A,EUR
2325,15.2,A,USD
2326,14.3,A,USD
2327,13.7,A,USD
2328,88.4,A,CNY
2329,96.7,A,CNY
2330,76.9,A,CNY
2331,12.5,A,USD
2332,13.2,A,USD
2333,76.5,A,CNY
2334,72,A,CNY
2335,11.2,A,USD
2336,12.6,A,USD
2337,10.6,A,EUR
2338,11.6,A,USD
2339,84.9,A,CNY
2340,12.3,A,USD
2341,12.4,A,USD
2342,12.8,A,EUR
2343,14,A,USD
2344,14.9,A,USD
2345,69.8,A,CNY
2346,12,A,EUR
2347,88.4,A,CNY
2348,12,A,USD
2349,13.2,A,USD
2350,13.3,A,EUR
2351,10.9,A,USD
2352,11.8,A,EUR
2353,10.7,A,EUR
2354,11.6,A,EUR
